case_id,pair,method,initial_x_m,initial_y_m,initial_z_m,initial_vx_mps,initial_vy_mps,initial_vz_mps,burn_time_s,propellant_kg,final_x_m,final_y_m,final_z_m,final_vx_mps,final_vy_mps,final_vz_mps,final_speed_mps,position_error_m,max_thrust_N,runtime_s,success
9,A,Optimizer-A,24.890693132018782,152.9687264309208,1644.2014837672707,-42.76903214936297,35.97868618699869,-58.351587197667136,25.766044205698137,1274.5639475000407,-2.8941484710156513e-07,3.198649179488566e-07,-3.4789409397717463e-07,2.8042457245192054e-11,-3.093969525025386e-11,1.0859935173357371e-10,1.1635060527336962e-10,5.541703890334184e-07,180000.00000104652,30.12138489994686,True
10,T,ESPDI-T,-255.28066450404714,190.37940543337984,670.4089550044116,32.95228667538879,-24.574664740546172,-84.662163892987,15.300308518285899,877.6109621054329,-1.9738935085964836e-12,1.4212977045322158e-12,1.3136959995542655e-11,6.672077170269408e-13,-4.87257586709311e-13,-4.690047395589092e-12,4.7622610875862434e-12,1.336024178945411e-11,180000.0,0.4613737999461591,True
10,T,Optimizer-T,-255.28066450404714,190.37940543337984,670.4089550044116,32.95228667538879,-24.574664740546172,-84.662163892987,15.300308518285899,877.6109621059077,5.307820849509426e-11,-3.958566807682473e-11,-3.7764458227229625e-10,-3.12194714524594e-13,2.327027459614328e-13,2.275513111271721e-12,2.3085874528214413e-12,3.834054666456314e-10,180000.0,19.130961999995634,True
10,A,ESPDI-A,-95.05090495017856,183.498333027606,1599.9502605807215,41.61504117998737,19.184869352327482,-67.97801514565433,26.462446758267255,1269.0525360552874,-1.1368683772161603e-13,-4.547473508864641e-13,-7.958078640513122e-13,0.0,2.842170943040401e-14,-2.842170943040401e-14,4.0194366942304644e-14,9.235962357520249e-13,180000.0545375142,3.9220743000041693,True
10,A,Optimizer-A,-95.05090495017856,183.498333027606,1599.9502605807215,41.61504117998737,19.184869352327482,-67.97801514565433,24.833366260895932,1222.9268281758868,-1.9497545802207757e-07,-1.7548243380932737e-07,1.5842768519291894e-07,4.179501189582879e-11,4.384315133165728e-11,3.086455535594723e-10,3.1453318214473995e-10,3.064455012594418e-07,180000.00000249187,24.835488199954852,True
11,T,ESPDI-T,308.2936901114447,-223.07318265135203,493.5635500702782,-44.79228802682032,32.41051818078688,-70.22955069024448,13.612842881038244,780.8195582161043,-1.3311136698099246e-11,9.498504467773256e-12,-6.05280108261115e-11,-1.526424819875416e-12,1.1094805629774385e-12,-6.957157072662312e-12,7.208533441973594e-12,6.269807047976568e-11,180000.0,0.5663130999309942,True
11,T,Optimizer-T,308.2936901114447,-223.07318265135203,493.5635500702782,-44.79228802682032,32.41051818078688,-70.22955069024448,13.612842881038244,780.8195582165281,-5.948619374862574e-11,4.291322852623125e-11,-2.701687762396432e-10,-4.4364512064021255e-13,3.2462921240039577e-13,-2.0303758674344863e-12,2.1034807538154258e-12,2.799487811798258e-10,180000.0,16.513804999995045,True
11,A,ESPDI-A,-76.74642348689167,-11.100496378841456,1326.5375300144945,32.782175500321884,11.295472158975642,-68.04373387716765,23.940406364334567,1138.5051293415127,-3.410605131648481e-13,1.4210854715202004e-13,0.0,-2.842170943040401e-14,-7.105427357601002e-15,1.4210854715202004e-14,3.256115871121665e-14,3.694822225952521e-13,180000.08002509727,3.8424451999599114,True
11,A,Optimizer-A,-76.74642348689167,-11.100496378841456,1326.5375300144945,32.782175500321884,11.295472158975642,-68.04373387716765,22.09481747521271,1083.7190483689064,1.6844641441010428e-07,6.605924991919002e-08,-4.66338541116329e-08,1.7197798740653525e-10,6.473666047668303e-11,-1.9903723114111926e-10,2.708931205150826e-10,1.8684949926829254e-07,180000.00001006958,17.0066150999628,True
12,T,ESPDI-T,-349.1577053464625,427.1812242566401,685.5038685753559,43.21991891811075,-52.87793336077476,-82.81398732706121,15.946560573618685,914.679357645653,7.029529844500282e-12,-8.796212781596313e-12,-3.913228205018604e-11,1.4708165241295035e-12,-1.8343937480125305e-12,-8.101630477597155e-12,8.435918329733341e-12,4.072005829550286e-11,180000.0,0.6329480999847874,True
